NOCA Fire Effects Monitoring Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOCA Fire Effects Plot History and Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated: 11/22/20 CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Unit,Subunit,New Plot  ID,Old Plot ID ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Upper Boulder,n/a,FPSME5D09-10,FPSME5D09-10,,,,,,,,,,,,00PRE,,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Boulder,n/a,FPSME4D10-15,FPSME4D10-15,,,,,,,,,,,,,,00PRE,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Boulder,n/a,FPSME4D10-16,FPSME4D10-16,,,,,,,,,,,,,,00PRE, , ,,,,,,,,,,
Upper Boulder,n/a,FPSME5D09-17,FPSME5D09-17,,,,,,,,,,,,,,00PRE,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Rainbow,n/a,FPSME5D09-04,FPSME5D09-04,,,,,,,,,,,,,00PRE,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Rainbow,n/a,FPSME5D09-12,FPSME5D09-12,,,,,,,,,,,,,00PRE,, , ,,,,,,,,,,
Upper Rainbow,n/a,FPSME5D09-14,FPSME5D09-14,,,,,,,,,,,,,00PRE,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Rainbow,n/a,FPSME4D10-11,FPSME4D10-11,,,,,,,,,,,,,00PRE,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Upper Rainbow,n/a,FPSME4D10-13,FPSME4D10-13,,,,,,,,,,,,,00PRE,,RAINBOW BR. FIRE,"CBI, 01 POST, 01YR01",,,, ,,,,,,
Coon Lake,n/a,FPSME5D09-22,FPSME5D09-22,,,,,,,,,,,,,,, ,00PRE,,,,,,,,,,
Coon Lake,n/a,FPSME5D09-23,FPSME5D09-23,,,,,,,,,,,,,,, ,00PRE,,,,,,,,,,
Coon Lake,n/a,FPSME4D10-19,FPSME4D10-19,,,,,,,,,,,,,,,,00PRE,,,,,,,,,,
Coon Lake,n/a,FPSME5D09-25,FPSME5D09-25,,,,,,,,,,,,,,,,00PRE,,,,,,,,,,
