Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-27,00Pre,0.02,0.37,0.42,0.81,0.95,0.52,2.27,2.80,0.80,5.87,1.8,2.3,4.1
FPIPO1D10-27,03Post,0.03,0.51,0.68,1.22,0.56,1.16,2.94,1.95,0.47,5.36,1.3,1.3,2.6
FPIPO1D10-27,03Year01,0.03,0.51,0.68,1.22,0.56,1.16,2.94,1.95,0.47,5.36,1.3,1.3,2.6
FPIPO1D10-27,03Year02,0.03,0.53,0.34,0.90,0.30,1.24,2.43,3.47,0.47,6.38,2.2,1.3,3.6
FPIPO1D10-27,15Post,0.03,0.47,0.18,0.67,0.00,1.10,1.77,3.39,0.46,5.62,2.2,1.3,3.5
FPIPO1D10-27,15Year01,0.03,0.47,0.18,0.67,0.00,1.10,1.77,3.39,0.46,5.62,2.2,1.3,3.5
FPIPO1D10-27,15Year05,0.02,0.37,0.26,0.65,0.29,1.21,2.15,5.39,1.15,8.69,3.5,3.3,6.7
FPIPO1D10-28,00Pre,0.03,0.19,0.42,0.64,0.74,0.70,2.08,2.16,0.49,4.72,1.4,1.4,2.8
FPIPO1D10-28,03Post,0.02,0.13,0.42,0.56,1.31,0.55,2.43,1.43,0.26,4.12,0.9,0.7,1.7
FPIPO1D10-28,03Year01,0.02,0.13,0.42,0.56,1.31,0.55,2.43,1.43,0.26,4.12,0.9,0.7,1.7
FPIPO1D10-28,03Year02,0.01,0.19,0.08,0.29,0.30,1.04,1.63,3.02,0.56,5.21,1.9,1.6,3.5
FPIPO1D10-28,03Year05,0.01,0.28,0.25,0.54,0.11,1.12,1.77,2.31,0.51,4.60,1.5,1.5,2.9
FPIPO1D10-29,00Pre,0.01,0.12,0.25,0.38,3.76,0.03,4.17,3.19,0.83,8.18,2.1,2.4,4.4
FPIPO1D10-29,03Post,0.02,0.25,0.42,0.70,0.23,1.41,2.34,3.67,0.32,6.33,2.4,0.9,3.3
FPIPO1D10-29,03Year01,0.02,0.25,0.42,0.70,0.23,1.41,2.34,3.67,0.32,6.33,2.4,0.9,3.3
FPIPO1D10-29,03Year02,0.01,0.25,0.25,0.51,0.44,2.53,3.49,2.74,0.65,6.89,1.8,1.9,3.6
FPIPO1D10-29,15Post,0.01,0.30,0.92,1.23,1.45,1.26,3.94,4.03,0.49,8.46,2.6,1.4,4.0
FPIPO1D10-29,15Year02,0.01,0.30,0.92,1.23,1.45,1.26,3.94,4.24,0.52,8.69,2.7,1.5,4.2
FPIPO1D10-29,15Year05,0.00,0.18,0.42,0.60,0.00,3.25,3.85,3.41,1.22,8.48,2.2,3.5,5.7
