MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,22,3,5,FALSE,0.9,0.4,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,23,3,10,FALSE,0.8,0,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,24,3,15,FALSE,2.4,0,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,25,3,20,FALSE,0.9,0.6,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,26,3,25,FALSE,1,0,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,27,3,30,FALSE,0.2,1.9,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,28,3,35,FALSE,0.9,0.5,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,29,3,40,FALSE,0.9,0.6,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,30,3,45,FALSE,1.4,1.6,,LARO,,,, fuel3_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,31,4,1,FALSE,1.3,0.3,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,32,4,5,FALSE,1.1,0,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,33,4,10,FALSE,0.1,0,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,34,4,15,FALSE,0.4,0,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,35,4,20,FALSE,0.5,0.6,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,36,4,25,FALSE,0.5,0.5,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,37,4,30,FALSE,2.2,0,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,38,4,35,FALSE,1.1,0.9,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,39,4,40,FALSE,2.5,1,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year02,8/10/2006 10:39,40,4,45,FALSE,2.7,1,,LARO,,,, fuel4_fuel,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,,,,,,,,,,,,,4,,,,,,,TRUE
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483648,1,1,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483647,1,5,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483646,1,10,FALSE,0.5,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483645,1,15,FALSE,0.3,0.6,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483644,1,20,FALSE,0.7,1.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483643,1,25,FALSE,0.7,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483642,1,30,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483641,1,35,FALSE,0.5,1.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483640,1,40,FALSE,0.7,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483639,1,45,FALSE,0.4,1.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483638,2,1,FALSE,0.4,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483637,2,5,FALSE,0,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483636,2,10,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483635,2,15,FALSE,1.1,3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483634,2,20,TRUE,0.9,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483633,2,25,FALSE,0.2,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483632,2,30,FALSE,0.3,1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483631,2,35,FALSE,0.1,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483630,2,40,FALSE,0.3,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483629,2,45,FALSE,0.1,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483628,3,1,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483627,3,5,FALSE,0.2,0.7,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483626,3,10,FALSE,0.9,0.6,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483625,3,15,FALSE,0.7,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483624,3,20,FALSE,0.7,0.7,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483623,3,25,FALSE,0.1,1.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483622,3,30,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483621,3,35,FALSE,1,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483620,3,40,FALSE,0.2,1.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483619,3,45,FALSE,0.9,0.7,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483618,4,1,FALSE,1.2,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483617,4,5,FALSE,0.5,0.7,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483616,4,10,FALSE,0.4,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483615,4,15,FALSE,0,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483614,4,20,FALSE,0.5,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483613,4,25,FALSE,0.2,0.6,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483612,4,30,FALSE,0.9,0.7,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483611,4,35,FALSE,0.4,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483610,4,40,FALSE,1.1,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year05,5/17/2009 9:47,-2147483609,4,45,FALSE,1.2,0.4,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,,,,,,,,,,,,,4,bs; jlb,bs; jlb,,,,,TRUE
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483648,1,1,FALSE,0.1,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483647,1,5,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483646,1,10,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483645,1,15,FALSE,0.2,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483644,1,20,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483643,1,25,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483642,1,30,FALSE,0.5,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483641,1,35,FALSE,0.3,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483640,1,40,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483639,1,45,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483638,2,1,FALSE,0.1,1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483637,2,5,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483636,2,10,FALSE,0.1,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483635,2,15,FALSE,0.1,0,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483634,2,20,FALSE,0.2,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483633,2,25,FALSE,0.5,1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483632,2,30,FALSE,0.1,0.1,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483631,2,35,FALSE,0.1,0.5,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483630,2,40,FALSE,0.7,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483629,2,45,FALSE,0.4,0.2,,LARO,,,,,,,,,,,,
Gifford Clover ,415225,5349403,11,FPIPO1D10-05,04Year10,8/31/2014 21:40,-2147483628,3,1,FALSE,0.4,0,,LARO,,,,,,,,,,,,
